attorney,abogado,avoka,Rechtsanwalt,avocat,محامي,변호사,адвокат
attract,atraer,atire,anlocken,attirer,جذب,끌어 들이다,привлекать
attractive,atractivo,atire,attraktiv,attractif,جذاب,매력적인,привлекательный
attribute,atributo,atribi,Attribut,attribut,يصف,기인하다,атрибут
audience,audiencia,odyans lan,Publikum,public,جمهور,청중,аудитория
author,autor,otè,Autor,auteur,مؤلف,작가,автор
authority,autoridad,otorite,Behörde,autorité,سلطة,권한,власть
auto,auto,oto,Auto,auto,آلي,자동,авто
available,disponible,disponib,verfügbar,disponible,متاح,사용 가능,доступный
average,promedio,mwayèn,Durchschnitt,moyenne,متوسط,평균,средний
avoid,evitar,evite,vermeiden,éviter,يتجنب,피하다,избегать
award,otorgar,prim,vergeben,prix,جائزة,상,награда
aware,consciente,okouran,bewusst,conscient,واعي,알고 있는,осведомленный
awareness,conciencia,konsyans,Bewusstsein,conscience,وعي,의식,осведомленность
away,lejos,lwen,weg,loin,بعيد,떨어져 있는,прочь
awful,horrible,terib,schrecklich,affreux,مريع,끔찍한,ужасный
baby,bebé,ti bebe,Baby,bébé,طفل,아기,малыш
back,atrás,tounen,zurück,dos,خلف,뒤쪽에,назад
background,fondo,background,Hintergrund,arrière-plan,خلفية,배경,фон
bad,malo,move,schlecht,mauvais,سيء,나쁜,плохой
badly,gravemente,mal,schlecht,mal,بشكل سيئ,심하게,плохо
bag,bolsa,sak,Tasche,sac,شنطة,가방,сумка
bake,hornear,kwit,backen,cuire,خبز,빵 굽기,выпекать
balance,balance,balans,Gleichgewicht,équilibre,توازن,균형,баланс
ball,pelota,boul,Ball,balle,كرة,공,мяч
ban,prohibición,entèdiksyon,Verbot,interdire,المنع,반,запретить
band,banda,bann,Band,groupe,فرقة,밴드,группа
bank,banco,bank,Bank,banque,بنك,은행,банк
bar,bar,ba,Bar,bar,حاجِز,술집,бар
barely,apenas,apèn,kaum,à peine,بالكاد,간신히,едва
barrel,barril,barik,Fass,baril,برميل,통,бочка
barrier,barrera,baryè,Barriere,barrière,حاجز,장벽,барьер
base,base,baz,Base,base,قاعدة,베이스,база
baseball,béisbol,bezbòl,Baseball,base-ball,البيسبول,야구,бейсбол
basic,básico,debaz,Basic,basique,أساسي,기초적인,базовый
basically,básicamente,an prensip,grundsätzlich,essentiellement,أساسًا,원래,по сути
basis,base,baz,Basis,base,أساس,기초,основа
basket,cesta,panyen,Korb,panier,سلة,바구니,корзина
basketball,baloncesto,baskètbòl,Basketball,basket-ball,كرة سلة,농구,баскетбол
bathroom,baño,twalèt,Badezimmer,salle de bain,حمام,화장실,ванная комната
battery,batería,batri,Batterie,batterie,بطارية,배터리,батарея
battle,batalla,batay,Schlacht,bataille,معركة,전투,боевой
be,ser,dwe,Sei,être,يكون,BE,быть
beach,playa,plaj,Strand,plage,شاطئ,해변,пляж
bean,frijol,pwa,Bohne,haricot,فاصوليا,콩,боб
bear,oso,lous,tragen,ours,دُبٌّ,곰,медведь
beat,derrotar,bat,schlagen,battre,يهزم,이기다,бить
beautiful,hermoso,bèl,Schön,beau,جميل,아름다운,красивый
beauty,belleza,bote,Schönheit,beauté,جمال,아름다움,красота
because,porque,paske,Weil,parce que,لأن,왜냐하면,потому что
become,convertirse,vin,werden,devenir,يصبح,~이 되다,становиться
bed,cama,kabann,Bett,lit,سرير,침대,кровать
bedroom,dormitorio,chanm,Schlafzimmer,chambre à coucher,غرفة نوم,침실,Спальня
beer,cerveza,byè,Bier,bière,جعة,맥주,пиво
before,antes,anvan,Vor,avant,قبل,~ 전에,до
begin,comenzar,kòmanse,beginnen,commencer,يبدأ,시작하다,начинать
beginning,comienzo,kòmansman,Anfang,début,بداية,시작,начало
behavior,comportamiento,konpòtman,Verhalten,comportement,سلوك,행동,поведение
behind,detrás,dèyè,hinter,derrière,خلف,뒤에,позади
being,ser,ke yo te,Sein,être,كون,존재,существование
belief,creencia,kwayans,Glauben,croyance,الاعتقاد,믿음,вера
believe,creer,kwè,glauben,croire,يعتقد,믿다,полагать
bell,campana,klòch,Glocke,cloche,جرس,벨,колокол
belong,pertenecer,fè pati,gehören,appartenir,ينتمي ل,제자리에 있다,принадлежать
below,abajo,anba a,unten,ci-dessous,أقل,아래에,ниже
belt,cinturón,sentiwon,Gürtel,ceinture,حزام,벨트,пояс
bench,banco,ban,Bank,banc,مقعد,벤치,лавка
bend,doblar,pliye,biegen,plier,يلوي,굽히다,сгибать
beneath,bajo,anba,darunter,sous,أسفل,~ 아래에,под
benefit,beneficio,benefisye,Nutzen,avantage,فائدة,혜택,выгода
beside,al lado de,bò kote,neben,à côté de,بجانب,옆에,рядом
besides,además,anplis,außerdem,en plus,بجانب,게다가,кроме
best,mejor,pi bon,am besten,meilleur,أفضل,최상의,лучший
bet,apuesta,parye,Wette,pari,رهان,내기,делать ставку
better,mejor,pi bon,besser,mieux,أحسن,더 나은,лучше
between,entre,ant,zwischen,entre,بين,~ 사이,между
beyond,más allá de,pi lwen pase,darüber hinaus,au-delà,وَرَاءَ,그 너머에,вне
Bible,Biblia,Bib la,Bibel,Bible,الكتاب المقدس,성경,Библия
big,grande,gwo,groß,grand,كبير,큰,большой
bike,bicicleta,bisiklèt,Fahrrad,vélo,دراجة هوائية,자전거,велосипед
bill,factura,bòdwo,Rechnung,facture,فاتورة,청구서,счет
billion,mil millones,milya dola,Milliarde,milliard,مليار,10억,миллиард
bind,unir,mare,binden,lier,ربط,묶다,связывать
biological,biológico,byolojik,biologisch,biologique,بيولوجي,생물학적,биологический
bird,pájaro,zwazo,Vogel,oiseau,طائر,새,птица
birth,nacimiento,nesans,Geburt,naissance,ولادة,출생,рождение
birthday,cumpleaños,anivèsè nesans,Geburtstag,anniversaire,عيد ميلاد,생일,день рождения
bit,poco,ti jan,bisschen,peu,قليل,조금,кусочек
bite,morder,mòde,beißen,mordre,يعض,깨물다,кусать
black,negro,nwa,Schwarz,noir,أسود,검은색,черный
blade,cuchilla,lam,Klinge,lame,شفرة,잎,лезвие
blame,culpa,blame,beschuldigen,blâmer,لوم,탓하다,обвинять
blanket,frazada,dra,Decke,couverture,بطانية,담요,одеяло
blind,ciego,avèg,blind,aveugle,أعمى,눈이 먼,слепой
block,bloquear,blòk,Block,bloc,حاجز,차단하다,блокировать
blood,sangre,san,Blut,sang,دم,피,кровь
blow,explotar,soufle,Schlag,souffler,ينفخ,불다,дуть
blue,azul,ble,Blau,bleu,أزرق,파란색,синий
board,junta,tablo,Planke,conseil,سبورة,판자,доска
boat,bote,bato,Boot,bateau,قارب,보트,лодка
body,cuerpo,kò,Körper,corps,جسم,몸,тело
bomb,bomba,bonm,Bombe,bombe,قنبلة,폭탄,бомбить
bombing,bombardeo,bonbadman,Bombardierung,bombardement,قصف,폭격,бомбардировка
bond,vínculo,kosyon,Bindung,lier,رابطة,노예,связь
bone,hueso,zo,Knochen,os,عظم,뼈,кость
book,libro,Liv,Buch,livre,كتاب,책,книга
boom,auge,boom,Boom,boom,فقاعة,팔,бум
boot,bota,bòt,Stiefel,botte,حذاء طويل,신병,ботинок
border,borde,fwontyè,Grenze,frontière,حدود,국경,граница
born,nacido,fèt,geboren,né,وُلِدّ,태어나다,рожденный
borrow,pedir prestado,prete,ausleihen,emprunter,يستعير,빌리다,занимать
boss,jefe,bòs nan travay,Chef,chef,رئيس,사장,босс
both,ambos,tou de,beide,les deux,كلاهما,둘 다,оба
bother,molestar,deranje,sich kümmern,déranger,يزعج,신경 쓰다,беспокоить
bottle,botella,boutèy,Flasche,bouteille,زجاجة,병,бутылка
bottom,abajo,anba,unten,bas,قاع,맨 아래,нижний
boundary,Perímetro,fwontyè,Grenze,frontière,الحدود,경계,граница
bowl,bol,bòl,Schüssel,bol,صَحن,그릇,чаша
box,caja,bwat,Kasten,boîte,صندوق,상자,коробка
boy,chico,ti gason,Junge,garçon,ولد,소년,мальчик
boyfriend,novio,mennaj,Freund,petit ami,حبيب,남자 친구,дружок
brain,cerebro,sèvo,Gehirn,cerveau,مخ,뇌,мозг
branch,rama,branch,Zweig,bifurquer,فرع,나뭇가지,ветвь
brand,marca,mak,Marke,marque,ماركة,상표,бренд
bread,pan,pen,brot,pain,خبز,빵,хлеб
break,romper,kraze,brechen,casser,استراحة,부서지다,перерыв
breakfast,desayuno,manje maten,Frühstück,petit-déjeuner,إفطار,아침,завтрак
breast,mama,tete,Brust,sein,صدر,가슴,грудь
breath,aliento,souf,Atem,haleine,يتنفس,호흡,дыхание
breathe,respirar,respire,atmen,respirer,يتنفس,숨 쉬다,дышать
brick,ladrillo,brik,Ziegel,brique,قالب طوب,벽돌,кирпич
bridge,puente,pon,Brücke,pont,كوبري,다리,мост
brief,breve,kout,knapp,bref,مختصر,짧은,краткий
briefly,brevemente,yon ti tan,knapp,brièvement,باختصار,간단히,кратко
bright,brillante,klere,hell,brillant,ساطع,밝은,яркий
brilliant,brillante,briyan,brillant,brillant,باهِر,멋진,блестящий
bring,traer,pote,bringen,apporter,يحضر,가져오다,приносить
British,británico,Britanik,britisch,Britanique,بريطاني,영국인,Британский
broad,amplio,laj,breit,large,واسع,넓은,широкий
broken,roto,kase,gebrochen,cassé,مكسور,고장난,сломанный
brother,hermano,frè,Bruder,frère,أخ,형제,брат
brown,marrón,mawon,braun,brun,بني,갈색,коричневый
brush,cepillar,bwòs,Bürste,brosse,فرشاة,브러시,щетка
buck,dólar,bouk,Bock,mâle,دولار,책임,доллар
budget,presupuesto,bidjè,Budget,budget,ميزانية,예산,бюджет
build,construir,bati,bauen,construire,يبني,짓다,строить
building,edificio,bilding,Gebäude,bâtiment,مبنى,건물,здание
bullet,bala,bal,Kugel,balle,رصاصة,총알,пуля
bunch,racimo,pakèt,Bündel,bouquet,حزمة,다발,связка
burden,carga,chay,Last,fardeau,حرج,부담,груз
burn,quemar,boule,brennen,brûler,يحرق,불타다,гореть
bury,enterrar,antere,begraben,enterrer,دفن,묻다,хоронить
bus,autobús,bis,Bus,bus,حافلة,버스,автобус
business,negocio,biznis,Geschäft,entreprise,عمل,사업,бизнес
busy,ocupado,okipe,beschäftigt,occupé,مشغول,바쁘다,занятый
but,pero,men,Aber,mais,لكن,하지만,но
butter,manteca,bè,Butter,beurre,سمنة,버터,масло
button,botón,bouton,Taste,bouton,زر,단추,кнопка
buy,comprar,achte,kaufen,acheter,يشتري,구입하다,купить
buyer,comprador,achtè,Käufer,acheteur,مشتر,사는 사람,покупатель
by,por,pa,von,par,بواسطة,~에 의해,к
cabin,cabina,kabin,Kabine,cabine,الطائرة,선실,кабина
cabinet,gabinete,kabinè,Kabinett,armoire,خزانة,내각,кабинет
cable,cable,kab,Kabel,câble,كابل,케이블,кабель
cake,pastel,gato,Kuchen,gâteau,كيك,케이크,торт
calculate,calcular,kalkile,Berechnung,calculer,احسب,계산하다,вычислить
call,llamar,rele,Anruf,appel,يتصل,부르다,вызов
camera,cámara,kamera,Kamera,caméra,آلة تصوير,카메라,камера
camp,acampar,kan,Lager,camp,معسكر,캠프,лагерь
campaign,campaña,kanpay,Kampagne,campagne,حملة,운동,кампания
campus,instalaciones,kanpis,Campus,Campus,حرم الجامعة,교정,кампус
can,poder,kapab,dürfen,peut,يستطيع,~할 수 있다,может
Canadian,canadiense,Kanadyen,kanadisch,canadien,كندي,캐나다 사람,Канадский
cancer,cáncer,kansè,Krebs,cancer,سرطان,암,рак
candidate,candidato,kandida,Kandidat,candidat,مُرَشَّح,후보자,кандидат
cap,gorra,bouchon,Deckel,casquette,قبعة,캡,кепка
capability,capacidad,kapasite,Fähigkeit,aptitude,الإمكانية,능력,способность
capable,capaz,kapab,fähig,capable,قادر,유능한,способный
capacity,capacidad,kapasite,Kapazität,capacité,سعة,용량,емкость
capital,capital,kapital,Hauptstadt,capital,عاصمة,수도,капитал
captain,capitán,kapitènn,Kapitän,capitaine,قائد المنتخب,선장,капитан
capture,captura,kaptire,erfassen,capturer,يأسر,포착,захватывать
car,auto,machin,Auto,voiture,سيارة,자동차,машина
carbon,carbón,kabòn,Kohlenstoff,carbone,كربون,탄소,углерод
card,tarjeta,kat,Karte,carte,بطاقة,카드,карта
care,cuidado,swen,Pflege,se soucier,رعاية,케어,Забота
career,carrera,karyè,Karriere,carrière,حياة مهنية,직업,карьера
careful,cuidadoso,atansyon,vorsichtig,prudent,حذر,주의 깊은,осторожный
carefully,con cuidado,ak anpil atansyon,sorgfältig,soigneusement,بحرص,주의하여,осторожно
carrier,transportador,konpayi asirans,Träger,transporteur,الناقل,담체,перевозчик
carry,llevar,pote,tragen,porter,يحمل,나르다,нести
case,caso,ka,Fall,cas,قضية,사례,случай
cash,dinero,lajan kach,Kasse,espèces,نقدي,현금,наличные
cast,elenco,jete,gießen,casting,يقذف,깁스,бросать
cat,gato,chat,Katze,chat,قطة,고양이,кот
catch,atrapar,trape,fangen,attraper,يمسك,잡다,ловить
category,categoría,kategori,Kategorie,catégorie,فئة,범주,категория
Catholic,católico,Katolik,katholisch,catholique,كاثوليكي,가톨릭,католик
cause,causa,koz,Ursache,cause,سبب,원인,причина
ceiling,techo,plafon,Decke,plafond,سقف,천장,потолок
celebrate,celebrar,selebre,feiern,célébrer,احتفل,축하하다,праздновать
celebration,celebracion,selebrasyon,Feier,fête,احتفال,축하,праздник
celebrity,celebridad,selebrite,Berühmtheit,célébrité,نجاح كبير,유명 인사,знаменитость
cell,celúla,selil,Zelle,cellule,خلية,셀,клетка
center,centro,sant,Center,centre,مركز,센터,центр
