assault,agresión,atak,Angriff,agression,yataeadaa,poghaeng,atakovat'
assert,afirmar,afime,behaupten,affirmer,yajzam,jujanghada,utverzhdat'
assess,evaluar,evalye,bewerten,évaluer,yunqyim,pyeong-gahada,otsenivat'
assessment,evaluación,evalyasyon,Bewertung,évaluation,taqdir,pyeong-ga,otsenka
asset,activo,avantaj,Vermögenswert,actif,asl,yusan,"ob""yekt"
assign,asignar,plase,zuordnen,attribuer,taeyin,yangsu-in,naznachat'
assignment,asignación,devwa,Abtretung,affectation,taklif,gwaje,naznacheniye
assist,asistir,ede,helfen,assister,yusaeid,dobda,pomogat'
assistance,asistencia,asistans,Hilfe,assistance,musaeida,bojo,pomoshch'
assistant,asistente,asistan,Assistent,assistant,musaeid,eosiseuteonteu,pomoshchnik
associate,asociado,asosye,assoziieren,associé,sharik,yeongwanjisda,partner
association,asociación,asosyasyon,Verband,association,munazama,hyeobhoe,assotsiatsiya
assume,asumir,asime,annehmen,supposer,yuftarad,chujeonghada,predpolagat'
assumption,suposición,sipozisyon,Annahme,hypothèse,aftirad,chujeong,predpolozheniye
assure,asegurar,asire,versichern,assurer,uwakid,hwagsinhada,garantirovat'
at,en,nan,bei,à,fi,~e,v
athlete,atleta,atlèt,Athlet,athlète,riadi,undong seonsu,sportsmen
athletic,atlético,atletik,sportlich,athlétique,riadi,undong-ui,Sportivnoye
atmosphere,atmósfera,atmosfè,Atmosphäre,atmosphère,ajwa',daegi,atmosfera
attach,adjuntar,tache,anfügen,attacher,yarbut,but-ida,prikreplyat'
attack,ataque,atak,Attacke,attaque,hujum,gong-gyeog,ataka
attempt,intentar,tantativ,versuchen,tentative,muhawala,sido,pytat'sya
attend,asistir,patisipe,teilnehmen,assister à,yahdur,chamseoghada,poseshchat'
attention,atención,atansyon,Aufmerksamkeit,attention,aintibah,jumog,vnimaniye
attitude,actitud,atitid,Attitüde,attitude,suluk,taedo,otnosheniye
attorney,abogado,avoka,Rechtsanwalt,avocat,muhami,byeonhosa,advokat
attract,atraer,atire,anlocken,attirer,jadhb,kkeul-eo deul-ida,privlekat'
attractive,atractivo,atire,attraktiv,attractif,jadhaab,maelyeogjeog-in,privlekatel'nyy
attribute,atributo,atribi,Attribut,attribut,yasif,giinhada,atribut
audience,audiencia,odyans lan,Publikum,public,jumhur,cheongjung,auditoriya
author,autor,otè,Autor,auteur,mualif,jagga,avtor
authority,autoridad,otorite,Behörde,autorité,sulta,gwonhan,vlast'
auto,auto,oto,Auto,auto,aly,jadong,avto
available,disponible,disponib,verfügbar,disponible,mutah,sayong ganeung,dostupnyy
average,promedio,mwayèn,Durchschnitt,moyenne,mutawasit,pyeong-gyun,sredniy
avoid,evitar,evite,vermeiden,éviter,yatajanab,pihada,izbegat'
award,otorgar,prim,vergeben,prix,jayiza,sang,nagrada
aware,consciente,okouran,bewusst,conscient,waei,algo issneun,osvedomlennyy
awareness,conciencia,konsyans,Bewusstsein,conscience,waey,uisig,osvedomlennost'
away,lejos,lwen,weg,loin,bueid,tteol-eojyeo issneun,proch'
awful,horrible,terib,schrecklich,affreux,murie,kkeumjjighan,uzhasnyy
baby,bebé,ti bebe,Baby,bébé,tifl,agi,malysh
back,atrás,tounen,zurück,dos,khalf,dwijjog-e,nazad
background,fondo,background,Hintergrund,arrière-plan,khalfia,baegyeong,fon
bad,malo,move,schlecht,mauvais,si',nappeun,plokhoy
badly,gravemente,mal,schlecht,mal,bishakl sayiy,simhage,plokho
bag,bolsa,sak,Tasche,sac,shanta,gabang,sumka
bake,hornear,kwit,backen,cuire,khubz,ppang gubgi,vypekat'
balance,balance,balans,Gleichgewicht,équilibre,tawazun,gyunhyeong,balans
ball,pelota,boul,Ball,balle,kura,gong,myach
ban,prohibición,entèdiksyon,Verbot,interdire,almane,ban,zapretit'
band,banda,bann,Band,groupe,firqa,baendeu,gruppa
bank,banco,bank,Bank,banque,bank,eunhaeng,bank
bar,bar,ba,Bar,bar,hajiz,suljib,bar
barely,apenas,apèn,kaum,à peine,bialkad,gansinhi,yedva
barrel,barril,barik,Fass,baril,barmil,tong,bochka
barrier,barrera,baryè,Barriere,barrière,hajiz,jangbyeog,bar'yer
base,base,baz,Base,base,qaeida,beiseu,baza
baseball,béisbol,bezbòl,Baseball,base-ball,albisbul,yagu,beysbol
basic,básico,debaz,Basic,basique,asasiun,gichojeog-in,bazovyy
basically,básicamente,an prensip,grundsätzlich,essentiellement,asasan,wonlae,po suti
basis,base,baz,Basis,base,asas,gicho,osnova
basket,cesta,panyen,Korb,panier,sala,baguni,korzina
basketball,baloncesto,baskètbòl,Basketball,basket-ball,kurat sala,nong-gu,basketbol
bathroom,baño,twalèt,Badezimmer,salle de bain,hamaam,hwajangsil,vannaya komnata
battery,batería,batri,Batterie,batterie,bataaria,baeteoli,batareya
battle,batalla,batay,Schlacht,bataille,maeraka,jeontu,boyevoy
be,ser,dwe,Sei,être,yakun,BE,byt'
beach,playa,plaj,Strand,plage,shati,haebyeon,plyazh
bean,frijol,pwa,Bohne,haricot,fasulya,kong,bob
bear,oso,lous,tragen,ours,dubb,gom,medved'
beat,derrotar,bat,schlagen,battre,yahzam,igida,bit'
beautiful,hermoso,bèl,Schön,beau,jamil,aleumdaun,krasivyy
beauty,belleza,bote,Schönheit,beauté,jamal,aleumdaum,krasota
because,porque,paske,Weil,parce que,li'ana,waenyahamyeon,potomu chto
become,convertirse,vin,werden,devenir,yusbih,~i doeda,stanovit'sya
bed,cama,kabann,Bett,lit,sarir,chimdae,krovat'
bedroom,dormitorio,chanm,Schlafzimmer,chambre à coucher,ghurfat nawm,chimsil,Spal'nya
beer,cerveza,byè,Bier,bière,jieatan,maegju,pivo
before,antes,anvan,Vor,avant,qabl,~ jeon-e,do
begin,comenzar,kòmanse,beginnen,commencer,yabda,sijaghada,nachinat'
beginning,comienzo,kòmansman,Anfang,début,bidayatan,sijag,nachalo
behavior,comportamiento,konpòtman,Verhalten,comportement,suluk,haengdong,povedeniye
behind,detrás,dèyè,hinter,derrière,khalf,dwie,pozadi
being,ser,ke yo te,Sein,être,kawn,jonjae,sushchestvovaniye
belief,creencia,kwayans,Glauben,croyance,alaietiqad,mid-eum,vera
believe,creer,kwè,glauben,croire,yuetaqad,midda,polagat'
bell,campana,klòch,Glocke,cloche,jaras,bel,kolokol
belong,pertenecer,fè pati,gehören,appartenir,yantami l,jejalie issda,prinadlezhat'
below,abajo,anba a,unten,ci-dessous,aqalu,alaee,nizhe
belt,cinturón,sentiwon,Gürtel,ceinture,hizam,belteu,poyas
bench,banco,ban,Bank,banc,maqead,benchi,lavka
bend,doblar,pliye,biegen,plier,yalwi,gubhida,sgibat'
beneath,bajo,anba,darunter,sous,asfal,~ alaee,pod
benefit,beneficio,benefisye,Nutzen,avantage,fayida,hyetaeg,vygoda
beside,al lado de,bò kote,neben,à côté de,bijanib,yeop-e,ryadom
besides,además,anplis,außerdem,en plus,bijanib,gedaga,krome
best,mejor,pi bon,am besten,meilleur,afdil,choesang-ui,luchshiy
bet,apuesta,parye,Wette,pari,rihan,naegi,delat' stavku
better,mejor,pi bon,besser,mieux,ahsan,deo na-eun,luchshe
between,entre,ant,zwischen,entre,bayn,~ sai,mezhdu
beyond,más allá de,pi lwen pase,darüber hinaus,au-delà,wara',geu neomeoe,vne
Bible,Biblia,Bib la,Bibel,Bible,alkitaab almuqadas,seong-gyeong,Bibliya
big,grande,gwo,groß,grand,kabir,keun,bol'shoy
bike,bicicleta,bisiklèt,Fahrrad,vélo,daraajat hawayiya,jajeongeo,velosiped
bill,factura,bòdwo,Rechnung,facture,fatura,cheong-guseo,schet
billion,mil millones,milya dola,Milliarde,milliard,milyar,10eog,milliard
bind,unir,mare,binden,lier,rabt,mukkda,svyazyvat'
biological,biológico,byolojik,biologisch,biologique,biulujiun,saengmulhagjeog,biologicheskiy
bird,pájaro,zwazo,Vogel,oiseau,tayir,sae,ptitsa
birth,nacimiento,nesans,Geburt,naissance,wilada,chulsaeng,rozhdeniye
birthday,cumpleaños,anivèsè nesans,Geburtstag,anniversaire,eid milad,saeng-il,den' rozhdeniya
bit,poco,ti jan,bisschen,peu,qalil,jogeum,kusochek
bite,morder,mòde,beißen,mordre,yaed,kkaemulda,kusat'
black,negro,nwa,Schwarz,noir,aswad,geom-eunsaeg,chernyy
blade,cuchilla,lam,Klinge,lame,shafra,ip,lezviye
blame,culpa,blame,beschuldigen,blâmer,lwm,tashada,obvinyat'
blanket,frazada,dra,Decke,couverture,bataania,dam-yo,odeyalo
blind,ciego,avèg,blind,aveugle,aemaa,nun-i meon,slepoy
block,bloquear,blòk,Block,bloc,hajiz,chadanhada,blokirovat'
blood,sangre,san,Blut,sang,dum,pi,krov'
blow,explotar,soufle,Schlag,souffler,yanfukh,bulda,dut'
blue,azul,ble,Blau,bleu,azraq,palansaeg,siniy
board,junta,tablo,Planke,conseil,sabura,panja,doska
boat,bote,bato,Boot,bateau,qarib,boteu,lodka
body,cuerpo,kò,Körper,corps,jism,mom,telo
bomb,bomba,bonm,Bombe,bombe,qunbula,pogtan,bombit'
bombing,bombardeo,bonbadman,Bombardierung,bombardement,qasf,poggyeog,bombardirovka
bond,vínculo,kosyon,Bindung,lier,rabita,noye,svyaz'
bone,hueso,zo,Knochen,os,eazam,ppyeo,kost'
book,libro,Liv,Buch,livre,kitab,chaeg,kniga
boom,auge,boom,Boom,boom,fuqaaea,pal,bum
boot,bota,bòt,Stiefel,botte,hidha' tawil,sinbyeong,botinok
border,borde,fwontyè,Grenze,frontière,hudud,guggyeong,granitsa
born,nacido,fèt,geboren,né,wulid,taeeonada,rozhdennyy
borrow,pedir prestado,prete,ausleihen,emprunter,yastaeir,billida,zanimat'
boss,jefe,bòs nan travay,Chef,chef,rayiys,sajang,boss
both,ambos,tou de,beide,les deux,kilahuma,dul da,oba
bother,molestar,deranje,sich kümmern,déranger,yuzeij,singyeong sseuda,bespokoit'
bottle,botella,boutèy,Flasche,bouteille,zujajatan,byeong,butylka
bottom,abajo,anba,unten,bas,qae,maen alae,nizhniy
boundary,Perímetro,fwontyè,Grenze,frontière,alhudud,gyeong-gye,granitsa
bowl,bol,bòl,Schüssel,bol,sahn,geuleus,chasha
box,caja,bwat,Kasten,boîte,sunduq,sangja,korobka
boy,chico,ti gason,Junge,garçon,wulid,sonyeon,mal'chik
boyfriend,novio,mennaj,Freund,petit ami,habib,namja chingu,druzhok
brain,cerebro,sèvo,Gehirn,cerveau,mukhkh,noe,mozg
branch,rama,branch,Zweig,bifurquer,fare,namusgaji,vetv'
brand,marca,mak,Marke,marque,marka,sangpyo,brend
bread,pan,pen,brot,pain,khubz,ppang,khleb
break,romper,kraze,brechen,casser,aistiraha,buseojida,pereryv
breakfast,desayuno,manje maten,Frühstück,petit-déjeuner,iiftar,achim,zavtrak
breast,mama,tete,Brust,sein,sadar,gaseum,grud'
breath,aliento,souf,Atem,haleine,yatanafas,hoheub,dykhaniye
breathe,respirar,respire,atmen,respirer,yatanafas,sum swida,dyshat'
brick,ladrillo,brik,Ziegel,brique,qalab tub,byeogdol,kirpich
bridge,puente,pon,Brücke,pont,kubri,dali,most
brief,breve,kout,knapp,bref,mukhtasar,jjalb-eun,kratkiy
briefly,brevemente,yon ti tan,knapp,brièvement,biaikhtisar,gandanhi,kratko
bright,brillante,klere,hell,brillant,satie,balg-eun,yarkiy
brilliant,brillante,briyan,brillant,brillant,bahir,meosjin,blestyashchiy
bring,traer,pote,bringen,apporter,yahdur,gajyeooda,prinosit'
British,británico,Britanik,britisch,Britanique,britaniun,yeong-gug-in,Britanskiy
broad,amplio,laj,breit,large,wasie,neolb-eun,shirokiy
broken,roto,kase,gebrochen,cassé,maksur,gojangnan,slomannyy
brother,hermano,frè,Bruder,frère,akh,hyeongje,brat
brown,marrón,mawon,braun,brun,buni,galsaeg,korichnevyy
brush,cepillar,bwòs,Bürste,brosse,firsha,beuleosi,shchetka
buck,dólar,bouk,Bock,mâle,dular,chaeg-im,dollar
budget,presupuesto,bidjè,Budget,budget,mizania,yesan,byudzhet
build,construir,bati,bauen,construire,yabni,jisda,stroit'
building,edificio,bilding,Gebäude,bâtiment,mabnaa,geonmul,zdaniye
bullet,bala,bal,Kugel,balle,rasasa,chong-al,pulya
bunch,racimo,pakèt,Bündel,bouquet,hizma,dabal,svyazka
burden,carga,chay,Last,fardeau,haraj,budam,gruz
burn,quemar,boule,brennen,brûler,yuhraq,bultada,goret'
bury,enterrar,antere,begraben,enterrer,dufin,mudda,khoronit'
bus,autobús,bis,Bus,bus,hafila,beoseu,avtobus
business,negocio,biznis,Geschäft,entreprise,eamil,sa-eob,biznes
busy,ocupado,okipe,beschäftigt,occupé,mashghul,bappeuda,zanyatyy
but,pero,men,Aber,mais,lakin,hajiman,no
butter,manteca,bè,Butter,beurre,simna,beoteo,maslo
button,botón,bouton,Taste,bouton,zurun,danchu,knopka
buy,comprar,achte,kaufen,acheter,yashtari,gu-ibhada,kupit'
buyer,comprador,achtè,Käufer,acheteur,mushtar,saneun salam,pokupatel'
by,por,pa,von,par,biwasita,~e uihae,k
cabin,cabina,kabin,Kabine,cabine,altaayira,seonsil,kabina
cabinet,gabinete,kabinè,Kabinett,armoire,khizana,naegag,kabinet
cable,cable,kab,Kabel,câble,kabil,keibeul,kabel'
cake,pastel,gato,Kuchen,gâteau,kik,keikeu,tort
calculate,calcular,kalkile,Berechnung,calculer,aihsib,gyesanhada,vychislit'
call,llamar,rele,Anruf,appel,yatasil,buleuda,vyzov
camera,cámara,kamera,Kamera,caméra,alt taswir,kamela,kamera
camp,acampar,kan,Lager,camp,mueaskar,kaempeu,lager'
campaign,campaña,kanpay,Kampagne,campagne,hamla,undong,kampaniya
campus,instalaciones,kanpis,Campus,Campus,haram aljamiea,gyojeong,kampus
can,poder,kapab,dürfen,peut,yastatie,~hal su issda,mozhet
