English,Spanish,HC
everything,todo,tout bagay
everywhere,en todos lados,tout kote
evidence,evidencia,prèv
evolution,evolución,evolisyon
evolve,evolucionar,evolye
exact,exacto,egzak
exactly,exactamente,egzakteman
examination,examen,egzaminasyon
examine,examinar,egzaminen
example,ejemplo,egzanp
exceed,superar,depase
excellent,excelente,ekselan
except,excepto,eksepte
exception,excepción,eksepsyon
exchange,intercambio,echanj
exciting,emocionante,eksitan
executive,ejecutivo,egzekitif
exercise,ejercicio,fè egzèsis
exhibit,anexo,ekspozisyon
exhibition,exhibición,egzibisyon
exist,existir,egziste
existence,existencia,egzistans
existing,existente,ki ekziste
expand,expandir,elaji
expansion,expansión,ekspansyon
expect,esperar,atann
expectation,expectativa,atant
expense,gastos,depans
expensive,caro,chè
experience,experiencia,eksperyans
experiment,experimento,eksperyans
expert,experto,ekspè
explain,explicar,eksplike
explanation,explicación,eksplikasyon
explode,explotar,eksploze
explore,explorar,eksplore
explosion,explosión,eksplozyon
expose,exponer,ekspoze
exposure,exposición,ekspoze
express,expresar,eksprime
expression,expresión,ekspresyon
extend,extender,pwolonje
extension,extensión,ekstansyon
extensive,extenso,vaste
extent,medida,limit
external,externo,ekstèn
extra,extra,siplemantè
extraordinary,extraordinario,ekstraòdinè
extreme,extremo,ekstrèm
extremely,extremadamente,ekstrèmman
eye,ojo,je
fabric,tela,twal
face,cara,figi
facility,instalación,etablisman
fact,hecho,reyalite
factor,factor,faktè
factory,fábrica,faktori
faculty,facultad,fakilte
fade,desteñir,fennen
fail,fallar,echwe
failure,falla,echèk
fair,justo,jis
fairly,equitativamente,jistis
faith,fe,lafwa
fall,caer,tonbe
familiar,familiar,abitye
family,familia,fanmi
famous,famoso,pi popilè
fan,admirador,fanatik
fantasy,fantasía,fantezi
far,lejos,byen lwen
farm,granja,fèm
farmer,agricultor,kiltivatè
fashion,moda,mòd
fast,rápido,vit
fat,gordo,grès
fate,destino,sò
father,padre,papa
fault,falla,fòt
favor,favor,favè
favorite,favorito,pi renmen
fear,miedo,pè
feature,característica,karakteristik
federal,federal,federal
fee,tarifa,frè
feed,alimentar,manje
feel,sentir,santi
feeling,sentimiento,santi
fellow,compañero,parèy
female,femenino,fi
fence,cerca,kloti
few,pocos,kèk
fewer,menos,mwens
fiber,fibra,fib
fiction,ficción,fiksyon
field,campo,jaden
fifteen,quince,kenz
fifth,quinto,senkyèm
fifty,cincuenta,senkant
fight,luchar,goumen
fighter,combatiente,avyon de gè
fighting,lucha,goumen
figure,cifra,figi
file,archivo,dosye
fill,llenar,ranpli
film,película,fim
final,final,final
finally,finalmente,finalman
finance,finanzas,finans
financial,financiero,finansye
find,encontrar,jwenn
finding,hallazgo,jwenn
fine,bien,byen
finger,dedo,dwèt
finish,finalizar,fini
fire,fuego,dife
firm,firme,fèm
first,primero,premye
fish,pez,pwason
fishing,pesca,lapèch
fit,adaptar,anfòm
fitness,aptitud física,kondisyon fizik
five,cinco,senk
fix,arreglar,ranje
flag,bandera,drapo
flame,fuego,flanm dife
flat,departamento,plat
flavor,sabor,gou
flee,huir,kouri
flesh,carne,vyann
flight,vuelo,vòl
float,flotar,flote
floor,piso,etaj
flow,fluir,koule
flower,flor,flè
fly,volar,vole
focus,enfocar,konsantre
folk,gente,popilè
follow,seguir,swiv
following,siguiente,swivan
food,alimento,manje
foot,pie,pye
football,fútbol americano,foutbòl
for,para,pou
force,fuerza,fòs
foreign,extranjero,etranje
forest,bosque,forè
forever,para siempre,pou toutan
forget,olvidar,bliye
form,forma,fòm
formal,formal,fòmèl
formation,formación,fòmasyon
former,anterior,ansyen
formula,fórmula,fòmil
forth,adelante,soti
fortune,fortuna,fòtin
forward,adelante,pi devan
found,encontró,jwenn
foundation,base,fondasyon
founder,fundador,fondatè
four,cuatro,kat
fourth,cuatro,katriyèm
frame,marco,ankadreman
framework,estructura,kad
free,gratis,gratis
freedom,libertad,libète
freeze,congelar,friz
French,Francés,franse
frequency,frecuencia,frekans
frequent,frecuente,souvan
frequently,frecuentemente,souvan
fresh,fresco,fre
friend,amigo,zanmi
friendly,amigable,zanmitay
friendship,amistad,amitye
from,de,soti nan
front,frente,devan
fruit,fruta,fwi
frustration,frustración,fristrasyon
fuel,combustible,gaz
full,lleno,plen
fully,completamente,totalman
fun,divertido,plezi
function,función,fonksyon
fund,fondo,fon
fundamental,fundamental,fondamantal
funding,fondos,finansman
funeral,funeral,fineray
funny,divertido,komik
furniture,muebles,mèb
furthermore,además,anplis
future,futuro,lavni
gain,ganar,genyen
galaxy,galaxia,galaksi
gallery,galería,galri
game,juego,jwèt
gang,pandilla,gang
gap,brecha,diferans
garage,cochera,garaj
garden,jardín,jaden
garlic,ajo,lay
gas,gas,gaz
gate,puerta,pòtay
gather,recolectar,rasanble
gay,homosexuales,masisi
gaze,mirada,gade
gear,engranaje,Kovèti pou
gender,género,sèks
gene,gene,jèn
general,general,jeneral
generally,generalmente,jeneralman
generate,generar,jenere
generation,generación,jenerasyon
genetic,genético,jenetik
gentleman,hidalgo,mesye
gently,suavemente,dousman
German,Alemán,Alman
gesture,gesto,jès
get,conseguir,jwenn
ghost,fantasma,fantom
giant,gigante,jeyan
gift,regalo,kado
gifted,dotado,ki gen don
girl,chica,ti fi
girlfriend,novia,mennaj
give,dar,bay
given,dado,bay
glad,contento,kontan
